,count,mean,std,min,25%,50%,75%,max
Administrative,12330.0,2.3151662611516626,3.32178410615674,0.0,0.0,1.0,4.0,27.0
Administrative_Duration,12330.0,80.81861053933592,176.77910747048236,0.0,0.0,7.5,93.25625,3398.75
Informational,12330.0,0.5035685320356853,1.2701564259834865,0.0,0.0,0.0,0.0,24.0
Informational_Duration,12330.0,34.47239792772304,140.74929442219084,0.0,0.0,0.0,0.0,2549.375
ProductRelated,12330.0,31.731467964314678,44.47550330493621,0.0,7.0,18.0,38.0,705.0
ProductRelated_Duration,12330.0,1194.7462199688268,1913.6692878719944,0.0,184.1375,598.9369047499999,1464.1572135000001,63973.52223
BounceRates,12330.0,0.02219138047072182,0.04848832180626314,0.0,0.0,0.0031124675,0.016812558499999998,0.2
ExitRates,12330.0,0.04307279776650446,0.04859654055144408,0.0,0.014285714,0.0251564025,0.05,0.2
PageValues,12330.0,5.889257862693592,18.56843660780723,0.0,0.0,0.0,0.0,361.7637419
SpecialDay,12330.0,0.061427412814274135,0.19891727315262578,0.0,0.0,0.0,0.0,1.0
OperatingSystems,12330.0,2.124006488240065,0.911324828710694,1.0,2.0,2.0,3.0,8.0
Browser,12330.0,2.357096512570965,1.7172766755533244,1.0,2.0,2.0,2.0,13.0
Region,12330.0,3.1473641524736413,2.4015912367436996,1.0,1.0,3.0,4.0,9.0
TrafficType,12330.0,4.069586374695864,4.025169160452769,1.0,2.0,2.0,4.0,20.0
